,id,name,category_id,arabic_name
651,321358,"Hummus, commercial",16.0,الحمص ، تجاري
652,321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.0,الحليب والدهون المنخفضة والسائل و 2 ٪ من الحليب ، مع إضافة فيتامين (أ) وفيتامين د
653,321360,"Tomatoes, grape, raw",11.0,الطماطم ، العنب ، الخام
904,321611,"Beans, snap, green, canned, regular pack, drained solids",11.0,الفاصوليا ، المفاجئة ، الأخضر ، المعلبة ، حزمة العادية ، المواد الصلبة المستنزفة
1193,321900,"Broccoli, raw",11.0,البروكلي ، الخام
1521,322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1.0,الحليب ، السائل ، السائل ، 1 ٪ من الحليب ، مع فيتامين أ المضافة وفيتامين د
1852,322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1.0,الحليب ، غير الدسم ، السائل ، مع فيتامين A الإضافي وفيتامين (د) (خالي من الدهون أو سكيم)
2185,322892,"Milk, whole, 3.25% milkfat, with added vitamin D",1.0,الحليب ، كامل ، 3.25 ٪ من الحليب ، مع فيتامين د المضافة
2414,323121,"Frankfurter, beef, unheated",7.0,فرانكفورتر ، لحوم البقر ، غير مسبقة
2587,323294,"Nuts, almonds, dry roasted, with salt added",12.0,المكسرات ، اللوز ، الجاف المحمص ، مع الملح إضافة
2737,323444,"Cheese, ricotta, whole milk",1.0,الجبن ، ريكوتا ، حليب كامل
2798,323505,"Kale, raw",11.0,اللفت ، الخام
2897,323604,"Egg, whole, raw, frozen, pasteurized",1.0,البيض ، الأبيض ، الخام ، المجمدة ، البستري
2990,323697,"Egg, white, raw, frozen, pasteurized",1.0,الصلصة ، السالسا ، جاهزة للخدمة
3086,323793,"Egg, white, dried",1.0,الصلصة ، السالسا ، جاهزة للخدمة
3331,324038,"Sauce, salsa, ready-to-serve",6.0,الصلصة ، السالسا ، جاهزة للخدمة
3450,324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",7.0,حلقات البصل ، مخبوز ، مقلي ، مجمدة ، أعدت ، ساخنة في الفرن
3610,324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",11.0,حلقات البصل ، مخبوز ، مقلي ، مجمدة ، أعدت ، ساخنة في الفرن
3946,324653,"Pickles, cucumber, dill or kosher dill",11.0,المخللات أو الخيار أو الشبت أو الشبت
4153,324860,"Peanut butter, smooth style, with salt",16.0,زبدة الفول السوداني ، نمط ناعم ، مع الملح
4329,325036,"Cheese, parmesan, grated",1.0,الجبن ، بارميزان ، مبشور
4491,325198,"Cheese, pasteurized process, American, vitamin D fortified",1.0,الجبن ، عملية مبستر ، أمريكية ، فيتامين (د) محصنة
4580,325287,"Grapefruit juice, white, canned or bottled, unsweetened",9.0,عصير الجريب فروت ، أبيض ، معلبة أو معبأة في زجاجات ، غير محلى
4723,325430,"Peaches, yellow, raw",9.0,الخوخ ، الأصفر ، الخام
4817,325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",12.0,البذور ، حبات البذور عباد الشمس ، جاف محمص ، مع الملح إضافة
4951,325658,"Sausage, Italian, pork, mild, cooked, pan-fried",7.0,النقانق ، الإيطالية ، لحم الخنزير ، معتدل ، مطبوخ ، مقلي
5164,325871,"Bread, white, commercially prepared",18.0,الخبز ، أبيض ، مستعد تجاريا
5285,325992,"Sausage, turkey, breakfast links, mild, raw",7.0,النقانق ، تركيا ، روابط الإفطار ، خفيفة ، خام
5428,326135,"Cheese, swiss",1.0,الجبن ، سويسري
5489,326196,"Kale, frozen, cooked, boiled, drained, without salt",11.0,اللفت ، المجمدة ، المطبوخة ، المغلي ، استنزاف ، بدون ملح
